objectid,equipamien,x,y,identifica,idclase,usuario,estado,codvia,numportal,idsubclase,telefono,globalid,created_user,created_date,last_edited_user,last_edited_date
24103,ASOCIACIÓN EMOCIONALES ANÓNIMOS,723961.873,4373085.17,010182,3,u10541,3,81156,15,,619658797,{F193ACC3-56D3-4AB0-97D4-9DF5337AFF99},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24104,ASOCIACIÓN HOGARES COMPARTIDOS,723155.311,4372297.908,009859,3,u10541,3,6330,2,,608224866,{D2742812-7A75-4CDD-9633-42EC543DD040},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24105,ASOCIACIÓN SINDROME X FRAGIL DE LA COMUNIDAD VALENCIANA,723268.333,4373496.023,010190,3,u10541,3,33030,67,,669819503,{DF7C1432-8434-4B25-98CB-BE4F67CFD473},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24106,ASOCIACIÓN VALENCIANA DE CARIDAD,724764.333,4373124.655,001488,3,u10541,3,56340,9,,963911726,{1DED0AF7-8A80-4BC1-B32F-1FF8F03A7513},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24107,ASSOCIACIÓ JOSE LUIS SAMPEDRO PER LA SALUT I LA CULTURA,723597.395,4373811.708,010183,3,u10541,3,81278,15,,635317241,{994D6CA7-BD34-4530-87C1-F49B175ACB15},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24108,CÁRITAS PARROQUIA BUEN PASTOR,724688.069,4372239.922,010201,3,u10541,3,28080,22,,963851643,{D7BD3EEE-099E-4DAB-9645-A541F17DE251},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24109,ENTREPOBLES,729954.179,4373113.835,003347,3,ssociales,3,17820,44,,963550602,{D6746F9B-BC24-4CC3-9950-2981570340B5},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24110,ASOCIACIÓN CENTRO DE TIEMPO LIBRE DE TERCERA EDAD DE SAN MARCELINO,724460.923,4369467.251,001409,3,ssociales,3,63870,9,,963284006,{9E5706ED-DA91-487D-A274-F757A1ABD2E4},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24111,ASOCIACIÓN DE JUBILADOS Y PENSIONISTAS DE LA COMUNIDAD VALENCIANA SAN VICENTE,723889.891,4371555.621,001412,3,ssociales,3,80340,2,,963540036,{D7EC27C7-3EA8-4EC6-8B44-5FC5EC671AFA},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24112,ASOCIACIÓN DE JUBILADOS Y PENSIONISTAS SAN JUAN DE DIOS DEL COLEGIO DE ENFERMERÍA VALENCIA,727566.4,4372874.147,001413,3,ssociales,3,900,64,,963937015,{6DECCAD6-FECF-4D50-A472-4BCEF2C304EC},ADM_GIS,20220908104230,ADM_GIS,20230108095318
